Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
TOST,"Toast, Inc.",21765760843,38.67,-0.27%,Software - Infrastructure,1477824,,20520760843,Large-Cap,Technology,5.99%,3.19%,42.73%,31.37%,6.39%,123.65%,
CHKP,Check Point Software Technologies Ltd.,21367497240,196.03,0.90%,Software - Infrastructure,201326,26.58,19898097240,Large-Cap,Technology,5.93%,3.31%,13.95%,-5.36%,4.06%,23.17%,70.59%
VRSN,"VeriSign, Inc.",19905193000,206.85,-0.14%,Software - Infrastructure,147100,24.14,20752493000,Large-Cap,Technology,-1.41%,4.17%,16.90%,10.66%,0.08%,0.86%,-3.41%
SSNC,"SS&C Technologies Holdings, Inc.",19725633400,79.90,0.33%,Software - Application,174916,28.54,26405533400,Large-Cap,Technology,1.57%,5.04%,19.67%,4.61%,5.09%,31.59%,25.32%
MDB,"MongoDB, Inc.",19414485420,259.02,-0.64%,Software - Infrastructure,389768,,18275539420,Large-Cap,Technology,3.50%,4.48%,1.63%,-2.95%,10.23%,-37.93%,71.13%
GRAB,Grab Holdings Limited,17677042000,4.61,-1.18%,Software - Application,5375644,,11957042000,Large-Cap,Technology,4.48%,-4.90%,37.87%,15.63%,-1.27%,55.33%,
KSPI,Joint Stock Company Kaspi.kz,18009716480,96.02,1.31%,Software - Infrastructure,114384,8.96,17081391301,Large-Cap,Technology,3.02%,-3.97%,-31.22%,-14.57%,0.07%,-1.24%,
DOCU,"DocuSign, Inc.",18537630480,89.69,-2.26%,Software - Application,507952,18.92,17725893480,Large-Cap,Technology,0.46%,-2.81%,64.18%,27.83%,2.02%,45.19%,25.48%
AFRM,"Affirm Holdings, Inc.",17698630783,56.24,-0.35%,Software - Infrastructure,1703507,,23398086783,Large-Cap,Technology,-3.47%,-14.70%,88.96%,27.28%,-8.06%,26.25%,
CYBR,CyberArk Software Ltd.,17677446508,355.02,-1.01%,Software - Infrastructure,122785,1236.66,16737517508,Large-Cap,Technology,3.24%,12.37%,38.13%,19.52%,7.65%,54.24%,158.01%
NTNX,"Nutanix, Inc.",17801136320,64.81,-2.45%,Software - Infrastructure,903175,,17420174320,Large-Cap,Technology,-2.52%,-0.31%,31.45%,5.65%,6.03%,15.84%,78.56%
MANH,"Manhattan Associates, Inc.",17084899046,284.08,0.75%,Software - Application,65961,79.72,16919975046,Large-Cap,Technology,2.73%,0.60%,28.99%,-4.60%,4.33%,27.34%,234.70%
TWLO,Twilio Inc.,17278707600,111.56,-0.97%,Software - Infrastructure,875378,,15703716600,Large-Cap,Technology,-2.07%,4.01%,93.51%,58.91%,3.86%,51.86%,-5.76%
GEN,Gen Digital Inc.,16935814080,27.49,0.02%,Software - Infrastructure,803833,28.04,24726814080,Large-Cap,Technology,-0.33%,-1.26%,7.85%,2.54%,0.37%,17.04%,-2.03%
GWRE,"Guidewire Software, Inc.",15324956357,200.38,9.20%,Software - Application,1248438,495.92,14969976357,Large-Cap,Technology,5.17%,4.24%,29.62%,-2.94%,8.84%,59.21%,62.54%
DT,"Dynatrace, Inc.",16225590240,54.89,0.97%,Software - Application,605126,98.84,15301182240,Large-Cap,Technology,7.60%,-0.51%,23.49%,-0.04%,0.02%,-6.11%,107.01%
AZPN,"Aspen Technology, Inc.",16175482881,255.50,-0.97%,Software - Application,123602,,16052237881,Large-Cap,Technology,2.89%,2.90%,34.58%,8.64%,3.35%,27.11%,83.30%
FFIV,"F5, Inc.",15815765393,271.66,-0.15%,Software - Infrastructure,101589,28.26,14956948393,Large-Cap,Technology,3.73%,7.86%,55.50%,24.84%,8.20%,51.08%,101.48%
OKTA,"Okta, Inc.",14218910550,87.19,-1.62%,Software - Infrastructure,669348,,12930910550,Large-Cap,Technology,5.25%,6.41%,-5.75%,19.69%,12.46%,9.03%,-29.25%
