Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
TEX,Terex Corporation,3247816000,48.98,0.74%,Farm & Heavy Construction Machinery,97160,7.10
DNLI,Denali Therapeutics Inc.,3354821820,22.70,-2.62%,Biotechnology,235119,
BFH,"Bread Financial Holdings, Inc.",3219052725,65.68,0.94%,Credit Services,158839,10.26
HEES,"H&E Equipment Services, Inc.",3266621276,89.13,-0.12%,Rental & Leasing Services,194431,22.65
RSI,"Rush Street Interactive, Inc.",3271688549,14.45,-1.40%,Gambling,380315,
IAG,IAMGOLD Corporation,3250128000,5.61,-1.41%,Gold,6337529,4.21
PTON,"Peloton Interactive, Inc.",3097285950,8.47,1.38%,Leisure,3263736,
TRN,"Trinity Industries, Inc.",3193264995,39.28,2.35%,Railroads,106295,18.90
CAR,"Avis Budget Group, Inc.",3140390304,90.96,-0.37%,Rental & Leasing Services,170825,7.97
FA,First Advantage Corporation,3206147640,18.51,-0.35%,Specialty Business Services,147533,464.25
HIW,"Highwoods Properties, Inc.",3188021400,29.53,-1.80%,REIT - Office,160744,22.44
PTVE,Pactiv Evergreen Inc.,3185540160,17.77,0.08%,Packaging & Containers,26959,
HASI,"HA Sustainable Infrastructure Capital, Inc.",3164008400,26.59,-1.72%,Real Estate Services,223482,14.28
YETI,"YETI Holdings, Inc.",3124123165,37.53,-0.53%,Leisure,405605,15.82
BTG,B2Gold Corp.,2939229200,2.31,-4.15%,Gold,27276636,
TWST,Twist Bioscience Corporation,3008901100,52.96,1.18%,Diagnostics & Research,233014,
SSL,Sasol Limited,2979279396,4.72,-4.74%,Specialty Chemicals,816880,
OUT,OUTFRONT Media Inc.,3113897360,18.59,-1.17%,REIT - Specialty,276577,13.33
CWK,Cushman & Wakefield plc,3059061710,13.43,0.71%,Real Estate Services,198344,36.03
BXMT,"Blackstone Mortgage Trust, Inc.",3065365080,17.63,-0.51%,REIT - Mortgage,271282,
BNL,"Broadstone Net Lease, Inc.",2954531490,15.58,-0.61%,REIT - Diversified,129973,20.62
EGO,Eldorado Gold Corporation,3063404500,14.76,-1.30%,Gold,432264,10.91
ATKR,Atkore Inc.,3033115195,88.00,0.74%,Electrical Equipment & Parts,64723,6.88
XENE,Xenon Pharmaceuticals Inc.,3020994150,39.83,1.63%,Biotechnology,59298,
SHOO,"Steven Madden, Ltd.",3013974250,41.89,0.32%,Footwear & Accessories,121151,17.77
PII,Polaris Inc.,3010759646,54.04,0.51%,Recreational Vehicles,476504,14.93
WRBY,Warby Parker Inc.,3018651538,25.03,0.24%,Medical Instruments & Supplies,344182,
USAC,"USA Compression Partners, LP",3013342250,25.71,-0.16%,Oil & Gas Equipment & Services,102054,45.98
VSCO,Victoria's Secret & Co.,3034793760,38.25,-0.91%,Apparel Retail,359167,19.69
NMIH,"NMI Holdings, Inc.",2995146200,37.97,0.32%,Insurance - Specialty,45097,8.66
LFST,"LifeStance Health Group, Inc.",3005637200,7.85,-1.57%,Medical Care Facilities,207166,
BHF,"Brighthouse Financial, Inc.",3003916062,50.51,0.72%,Insurance - Life,61274,
GNW,"Genworth Financial, Inc.",2967872400,7.02,0.94%,Insurance - Life,1083728,30.22
HCC,"Warrior Met Coal, Inc.",2910611860,57.26,2.90%,Coking Coal,146324,7.67
PENN,"PENN Entertainment, Inc.",3084632090,20.01,-0.99%,Resorts & Casinos,1093443,
HBI,Hanesbrands Inc.,2943341600,8.43,0.24%,Apparel Manufacturing,1621452,
BKU,"BankUnited, Inc.",2959312910,39.71,0.30%,Banks - Regional,142997,16.23
NSP,"Insperity, Inc.",2946824198,79.31,0.26%,Staffing & Employment Services,78501,24.91
FHI,"Federated Hermes, Inc.",3106124459,37.81,-0.42%,Asset Management,74470,12.21
CC,The Chemours Company,2958337800,19.68,-0.61%,Specialty Chemicals,176422,45.00
BTDR,Bitdeer Technologies Group,3953942708,19.91,-3.07%,Software - Application,2965832,
MLTX,MoonLake Immunotherapeutics,2970940329,46.40,-1.51%,Biotechnology,364481,
CNR,"Core Natural Resources, Inc.",5154795380,98.49,1.89%,Thermal Coal,298500,16.17
CPRI,Capri Holdings Limited,2896655580,24.54,-0.12%,Luxury Goods,606800,
KYMR,"Kymera Therapeutics, Inc.",2858092689,44.54,0.93%,Biotechnology,102592,
TDW,Tidewater Inc.,2908112340,54.85,-0.37%,Oil & Gas Equipment & Services,224913,16.30
VCEL,Vericel Corporation,2888947152,57.89,-1.09%,Biotechnology,68718,836.14
AAP,"Advance Auto Parts, Inc.",2776459560,47.98,3.23%,Specialty Retail,576582,149.94
MAN,ManpowerGroup Inc.,2827448736,60.59,0.58%,Staffing & Employment Services,96797,70.05
BOH,Bank of Hawaii Corporation,2826494502,71.38,0.38%,Banks - Regional,161488,21.35
ZLAB,Zai Lab Limited,2900986451,26.00,-2.38%,Biotechnology,266940,
PK,Park Hotels & Resorts Inc.,2819492300,13.70,-0.25%,REIT - Hotel & Motel,741858,8.81
DIOD,Diodes Incorporated,2912949423,60.99,-2.99%,Semiconductors,111017,47.63
PRKS,United Parks & Resorts Inc.,2859081930,51.25,-1.41%,Leisure,301407,13.03
ALHC,"Alignment Healthcare, Inc.",2800678560,14.53,-0.55%,Healthcare Plans,313534,
MRUS,Merus N.V.,2781680131,40.63,,Biotechnology,60810,
AMRX,"Amneal Pharmaceuticals, Inc.",4039848954,8.94,4.93%,Drug Manufacturers - Specialty & Generic,645356,
JBLU,JetBlue Airways Corporation,2729921990,7.94,0.83%,Airlines,6259230,
PAR,PAR Technology Corporation,2582200238,70.56,-2.01%,Software - Application,94878,
GRBK,"Green Brick Partners, Inc.",2733085586,61.29,-0.21%,Residential Construction,81400,7.97
AKR,Acadia Realty Trust,2649759975,22.19,-0.31%,REIT - Retail,130336,221.20
ABR,"Arbor Realty Trust, Inc.",2493203510,13.11,-1.43%,REIT - Mortgage,802858,9.84
BANC,"Banc of California, Inc.",2709362355,15.93,-0.87%,Banks - Regional,866637,
DRVN,Driven Brands Holdings Inc.,2661929080,16.33,0.68%,Auto & Truck Dealerships,52888,420.92
FFBC,First Financial Bancorp.,2668923140,28.02,0.23%,Banks - Regional,49682,12.05
MPW,"Medical Properties Trust, Inc.",2605736000,4.44,2.30%,REIT - Healthcare Facilities,3663675,
TBBK,"The Bancorp, Inc.",2647289883,55.59,0.65%,Banks - Regional,52374,13.95
TTMI,"TTM Technologies, Inc.",2719513230,26.13,-2.02%,Electronic Components,93652,40.41
OII,"Oceaneering International, Inc.",2663941600,26.36,,Oil & Gas Equipment & Services,146177,19.97
ENOV,Enovis Corporation,2627266010,47.67,1.38%,Specialty Industrial Machinery,397544,
LIVN,LivaNova PLC,2641733920,48.95,0.61%,Medical Devices,87749,115.83
ESRT,"Empire State Realty Trust, Inc.",1604731040,9.66,-0.16%,REIT - Diversified,139516,37.23
GT,The Goodyear Tire & Rubber Company,2659728200,9.31,-0.36%,Auto Parts,1399964,
IREN,IREN Limited,2287773838,12.36,6.00%,Capital Markets,12564370,
FCPT,"Four Corners Property Trust, Inc.",2658244824,27.33,-0.54%,REIT - Retail,56113,25.68
SIG,Signet Jewelers Limited,2589912870,60.68,2.21%,Luxury Goods,599455,6.94
CAKE,The Cheesecake Factory Incorporated,2583119217,51.32,0.73%,Restaurants,210899,19.19
UE,Urban Edge Properties,2476191930,19.84,0.05%,REIT - Retail,92938,8.89
CALX,"Calix, Inc.",2573060800,39.26,1.19%,Software - Infrastructure,116605,
EQX,Equinox Gold Corp.,2591203240,5.74,0.88%,Gold,3866096,11.61
SGRY,"Surgery Partners, Inc.",2594396740,20.36,0.05%,Medical Care Facilities,128193,
QS,QuantumScape Corporation,2567480832,5.01,-0.50%,Auto Parts,5723516,
WNS,WNS (Holdings) Limited,2147097150,58.97,19.12%,Information Technology Services,414328,18.97
STNE,StoneCo Ltd.,2467556520,8.62,0.41%,Software - Infrastructure,1269615,7.34
YELP,Yelp Inc.,2556688557,38.80,0.75%,Internet Content & Information,105497,23.25
SBSW,Sibanye Stillwater Limited,2575818700,3.64,,Other Precious Metals & Mining,2237811,
NEOG,Neogen Corporation,2592480800,11.59,-3.01%,Diagnostics & Research,949087,
AIR,AAR Corp.,2553894317,70.76,-0.50%,Aerospace & Defense,42266,263.37
SEM,Select Medical Holdings Corporation,2498713100,19.35,0.26%,Medical Care Facilities,80734,9.02
HUT,Hut 8 Corp.,2422531182,26.64,3.02%,Capital Markets,2943397,11.75
CDE,"Coeur Mining, Inc.",2473756425,6.25,-1.76%,Gold,4472145,
HI,"Hillenbrand, Inc.",2465514697,35.36,0.54%,Specialty Industrial Machinery,94018,
PFS,"Provident Financial Services, Inc.",2477973273,19.08,0.47%,Banks - Regional,92363,18.26
JANX,"Janux Therapeutics, Inc.",2322383910,43.07,7.19%,Biotechnology,722114,
ENR,"Energizer Holdings, Inc.",2479330425,34.34,-0.12%,Electrical Equipment & Parts,70950,66.08
AZTA,"Azenta, Inc.",2466448762,54.12,0.26%,Medical Instruments & Supplies,208756,
WULF,TeraWulf Inc.,2473670280,6.46,3.61%,Capital Markets,20221051,
